Module;Item;ItemType;Property;en-US;fr;nl;ko-KR;it;es;zh-CN;pt;de;en
TFPREFERENCES;FPreferences.AdvPageControl1.AdvTabGeneral.RgExportMetaFolder;TRadioGroup;Caption;"Default export metadata folder";"Dossier d'exportation des métadonnées par défaut";"Standaard export metadata map";;"Cartella predefinita dei metadati di esportazione";"Carpeta de metadatos de exportación predeterminada";默认导出元数据文件夹;"Pasta padrão de exportação de metadados";"Standard-Metadatenordner für den Export";
TFPREFERENCES;FPreferences.AdvPageControl1.AdvTabGeneral.RgExportMetaFolder;TRadioGroup;Items.Strings[0];"-working folder";"-Dossier de travail";-werkmap;;"-Cartella di lavoro";"-carpeta de trabajo";-工作文件夹;"-Pasta de trabalho";-Arbeitsmappe;
TFPREFERENCES;FPreferences.AdvPageControl1.AdvTabGeneral.RgExportMetaFolder;TRadioGroup;Items.Strings[1];"-save in:";"-sauvegarde dans :";"-sla op in:";;"-Salva in:";"-guardar en:";-保存在：;"-salvar em:";"-Speichern in:";
TFPREFERENCES;FPreferences.AdvPageControl1.AdvTabGeneral.RgStartupFolder;TRadioGroup;Caption;"Default startup folder";"Dossier de démarrage par défaut";"Standaard opstartmap";;"Cartella di avvio predefinita";"Carpeta de inicio por defecto";默认启动文件夹;"Pasta de inicialização padrão";Standard-Startordner;
TFPREFERENCES;FPreferences.AdvPageControl1.AdvTabGeneral.RgStartupFolder;TRadioGroup;Items.Strings[0];"-start in last visited folder";"-démarrage dans le dernier dossier visité";"-start in laatst geopende map";;"-Avvio nell'ultima cartella visitata";"-empezar en la última carpeta visitada";-从上次访问的文件夹开始;"-iniciar na última pasta visitada";"-starte in letzter Ordner";
TFPREFERENCES;FPreferences.AdvPageControl1.AdvTabGeneral.RgStartupFolder;TRadioGroup;Items.Strings[1];"-start in:";"-démarrer dans :";"-start in:";;"-Avvio in:";"-Iniciar en:";-开始在：;"-iniciar em:";"-starte in:";
TFPREFERENCES;FPreferences.AdvPageControl1.AdvTabIntegration;TTabSheet;Caption;"Shell Integration";"Intégration Shell";"Shell Integratie";;"Integrazione Shell";"Shell Integración";外壳集成;"Integração do Shell";"Integration der Shell";
TFPREFERENCES;FPreferences.AdvPageControl1.AdvTabIntegration.CheckBox10;TCheckBox;Caption;"-application Single instance";"-application Instance unique";"-applicatie Slechts 1 exemplaar actief";;"-applicazione Istanza singola";"-Aplicación Instancia única";-单例应用;"-application Instância única";"-Applikation Einzelne Instanz";
TFPREFERENCES;FPreferences.AdvPageControl1.AdvTabIntegration.CheckBox9;TCheckBox;Caption;"-application When minimized move to tray";"-application Lorsque l'application est réduite, elle est déplacée dans la barre des tâches";"-applicatie Verplaats naar systeemvak bij minimalizeren";;"-Quando l'applicazione è ridotta a icona viene spostata nell'area di notifica";"-Aplicación Cuando se minimiza se mueve a la bandeja";-应用程序最小化后移动到托盘;"-Aplicativo Quando minimizado, mover para a bandeja";"-Anwendung Nach dem Minimieren in die Schublade verschieben";
TFPREFERENCES;FPreferences.AdvPageControl1.AdvTabIntegration.GrpContextMenu;TGroupBox;Caption;"Register ExiftoolGui in Contextmenu (Requires elevation)";"Enregistrer ExiftoolGui dans le menu contextuel (nécessite une élévation)";"Registreer ExiftoolGui in Contextmenu (Vereist opstarten als Admin)";;"Registrare ExiftoolGui nel menu contestuale (richiede l'elevazione)";"Registrar ExiftoolGui en el menú contextual (Requiere elevación)";"在上下文菜单中注册 ExiftoolGui（需要升级）";"Registrar o ExiftoolGui no menu de contexto (Requer elevação)";"ExiftoolGui im Kontextmenü registrieren (Erfordert Berechtigung)";
TFPREFERENCES;FPreferences.AdvPageControl1.AdvTabIntegration.GrpContextMenu.BtnAdd2Context;TBitBtn;Caption;"Add to contextmenu";"Ajouter au menu contextuel";"Toevoegen aan contextmenu";;"Aggiungi al menu contestuale";"Añadir al menú contextual";添加到上下文菜单;"Adicionar ao menu de contexto";"Zum Kontextmenü hinzufügen";
TFPREFERENCES;FPreferences.AdvPageControl1.AdvTabIntegration.GrpContextMenu.BtnRemoveFromContextMenu;TBitBtn;Caption;"Remove from contextmenu";"Supprimer du menu contextuel";"Verwijder van contextmenu";;"Rimuovere dal menu contestuale";"Eliminar del menú contextual";从上下文菜单中移除;"Remover do menu de contexto";"aus dem Kontextmenü entfernen";
TFPREFERENCES;FPreferences.AdvPageControl1.AdvTabIntegration.GrpContextMenu.EdCommand;TLabeledEdit;EditLabel.Caption;"Installed as:";"Installé en tant que :";"Geïnstalleerd als:";;"Installato come:";"Instalado como:";安装为;"Instalado como:";"Installiert als:";
TFPREFERENCES;FPreferences.AdvPageControl1.AdvTabIntegration.GrpContextMenu.MemoWin11;TMemo;Lines.Strings[0];"The Verb will appear in the context menu, when you right-click on a folder in Windows Explorer.";"Le Verbe apparaîtra dans le menu contextuel lorsque vous ferez un clic droit sur un dossier dans l'Explorateur Windows.";"Het item zal verschijnen in het contextmenu, als je rechts klikt op een map in Windows Verkenner.";;"Il Verbo appare nel menu contestuale quando si fa clic con il pulsante destro del mouse su una cartella in Esplora risorse.";"El Verbo aparecerá en el menú contextual, cuando haga clic con el botón derecho en una carpeta en el Explorador de Windows.";"在 Windows 资源管理器中右键单击文件夹时，Verb 会出现在右键菜单中。";"O Verb aparecerá no menu de contexto quando você clicar com o botão direito do mouse em uma pasta no Windows Explorer.";"Das Verb wird im Kontextmenü angezeigt, wenn Sie im Windows Explorer mit der rechten Maustaste auf einen Ordner klicken.";
TFPREFERENCES;FPreferences.AdvPageControl1.AdvTabIntegration.GrpContextMenu.MemoWin11;TMemo;Lines.Strings[2];"Starting from Windows 11 the Verb will be under 'Show more options'. Directly acces the menu:";"À partir de Windows 11, le Verb se trouvera sous ""Afficher plus d'options"". Accéder directement au menu :";"Vanaf Windows 11 zal het item verschijnen onder 'Meer opties weergeven'. Directe toegang:";;"A partire da Windows 11 il Verbo sarà sotto ""Mostra altre opzioni"". Accedere direttamente al menu:";"A partir de Windows 11 el Verbo estará en 'Mostrar más opciones'. Acceso directo al menú:";"从 Windows 11 开始，Verb 将位于 ""显示更多选项 ""下。直接进入菜单：";"A partir do Windows 11, o Verb estará em ""Mostrar mais opções"". Acesse diretamente o menu:";"Ab Windows 11 wird das Verb unter ""Weitere Optionen anzeigen"" zu finden sein. Greifen Sie direkt auf das Menü zu:";
TFPREFERENCES;FPreferences.AdvPageControl1.AdvTabIntegration.GrpContextMenu.MemoWin11;TMemo;Lines.Strings[3];"- Use SHIFT/F10, or Shift/right-click";"- Utilisez SHIFT/F10, ou Shift/clic droit.";"- Gebruik SHIFT/F10, of Shift/Rechts-click";;"- Usare MAIUSC/F10 o Maiusc/clic destro.";"- Usa SHIFT/F10, o Shift/click derecho";"- 使用 SHIFT/F10 或 Shift/右键单击";"- Use SHIFT/F10 ou Shift/clique com o botão direito do mouse";"- Verwenden Sie SHIFT/F10, oder Shift/Rechtsklick";
TFPREFERENCES;FPreferences.AdvPageControl1.AdvTabIntegration.GrpContextMenu.MemoWin11;TMemo;Lines.Strings[4];"- For permanent direct access search the net for 'Disable Show more options Windows 11'";"- Pour un accès direct permanent, recherchez sur le net ""Désactiver l'affichage des options Windows 11"".";"- Voor permanente directe toegang zoek op het net naar 'Disable Show more options Windows 11'";;"- Per un accesso diretto permanente, cercate in rete ""Disabilita Mostra altre opzioni Windows 11"".";"- Para un acceso directo permanente, busca en la red 'Desactivar Mostrar más opciones Windows 11'.";"- 如需永久直接访问，请在网上搜索 ""禁用 Windows 11 显示更多选项""。";"- Para obter acesso direto permanente, procure na Internet por ""Disable Show more options Windows 11"" (Desativar Mostrar mais opções no Windows 11)";"- Für einen permanenten direkten Zugang suchen Sie im Netz nach 'Disable Show more options Windows 11'";
TFPREFERENCES;FPreferences.AdvPageControl1.AdvTabOther;TTabSheet;Caption;Other;Autre;Overige;;Altro;Otros;其它;Outros;Andere;
TFPREFERENCES;FPreferences.AdvPageControl1.AdvTabOther.ChkFileListBreadCrumb;TCheckBox;Caption;"-File list: Show Breadcrumb (Address Bar) in File list";"-Liste de fichiers : Afficher le fil d'Ariane (barre d'adresse) dans la liste de fichiers";"-Bestandslijst: Toon broodkruimelpad in Bestandslijst";;"-Elenco file: Mostra il Breadcrumb (barra degli indirizzi) nell'elenco dei file";"-Lista de archivos: Mostrar la barra de direcciones en la lista de archivos";-文件列表：在文件列表中显示面包屑（地址栏）;"-Lista de arquivos: Mostrar Breadcrumb (barra de endereços) na lista de arquivos";"-Dateiliste: Breadcrumb (Adressleiste) in Dateiliste anzeigen";
TFPREFERENCES;FPreferences.AdvPageControl1.AdvTabOther.ChkFileListFolders;TCheckBox;Caption;"-File list: Show Folders in File list";"-Liste de fichiers : Liste de fichiers : Afficher les dossiers dans la liste de fichiers";"-Bestandslijst: Toon mappen in Bestandslijst";;"-Elenco file: Mostra cartelle nell'elenco dei file";"-Lista de archivos: Mostrar carpetas en lista de archivos";-文件列表：在文件列表中显示文件夹;"-Lista de arquivos: Mostrar pastas na lista de arquivos";"-Dateiliste: Ordner in Dateiliste anzeigen";
TFPREFERENCES;FPreferences.AdvPageControl1.AdvTabOther.ChkFileListHidden;TCheckBox;Caption;"-File list: Show Hidden Folders and Files in File list (Admin required)";"- Liste de fichiers : Afficher les dossiers et fichiers cachés dans la liste de fichiers (Admin requis)";"-Bestandslijst: Toon verborgen bestanden en mappen in Bestandslijst (Beheerder vereist)";;"-Elenco file: Mostra cartelle e file nascosti nell'elenco dei file (è necessario l'amministratore)";"-Lista de archivos: Mostrar carpetas y archivos ocultos en la lista de archivos (requiere administración)";-文件列表：在文件列表中显示隐藏的文件夹和文件（需要管理员设置）;"-Lista de arquivos: Mostrar pastas e arquivos ocultos na lista de arquivos (Requer administração)";"-Dateiliste: Versteckte Ordner und Dateien in der Dateiliste anzeigen (Admin erforderlich)";
TFPREFERENCES;FPreferences.AdvPageControl1.AdvTabOther.ChkWorkAddRem;TCheckBox;Caption;"-Workspace: Double Click adds/removes tags";"-Espace de travail : Espace de travail : Double clic pour ajouter/supprimer des etiquettes";"-Werkruimte: DubbelClick voegt labels toe, verwijdert deze";;"-Area di lavoro: Doppio clic per aggiungere/rimuovere tag";"-Espacio de trabajo: Doble clic para añadir/eliminar etiquetas";"-工作区： 双击添加/删除标签";"-Espaço de trabalho: Clique duplo para adicionar/remover tags";"-Arbeitsbereich: Doppelklick fügt Tags hinzu/entfernt sie";
TFPREFERENCES;FPreferences.AdvPageControl1.AdvTabOther.ChkWorkLineEdit;TCheckBox;Caption;"-Workspace: Enable line editing";"-Espace de travail : Activer l'édition de lignes";"-Werkruimte: Regelbewerking inschakelen";;"-Area di lavoro: Abilita la modifica delle righe";"-Espacio de trabajo: Habilitar edición de líneas";"-工作区： 启用行编辑";"-Espaço de trabalho: Habilitar edição de linha";"-Arbeitsbereich: Zeilenbearbeitung aktivieren";
TFPREFERENCES;FPreferences.AdvPageControl1.AdvTabOther.ChkWorkNextLine;TCheckBox;Caption;"-Workspace: Move focus to next tag/line after value is entered";"-Espace de travail : Déplacer le focus sur la etiquette/ligne suivante après la saisie d'une valeur.";"-Werkruimte: Verplaats focus naar volgende label/regel na invullen waarde";;"-Spazio di lavoro: Sposta l'attenzione sul tag/riga successivo dopo l'inserimento del valore.";"-Espacio de trabajo: Mover el foco a la siguiente etiqueta/línea después de introducir el valor.";"-工作区： 输入值后将焦点移至下一个标记/行";"-Espaço de trabalho: Mover o foco para a próxima tag/linha depois que o valor for inserido";"-Arbeitsbereich: Verschieben des Fokus auf die nächste Zeile, nach eingeben Wert";
TFPREFERENCES;FPreferences.AdvPageControl1.AdvTabOther.GrpETAutoComplete;TGroupBox;Caption;"ExifTool direct auto complete options";"ExifTool direct auto complete options";"Opties voor automatisch aanvullen van ExifTool direct";;"Opzioni di completamento automatico di ExifTool direct";"Opciones de autocompletado de ExifTool direct";"ExifTool 直接自动完成选项";"Opções de preenchimento automático do ExifTool direct";"Optionen für automatische Vervollständigung von ExifTool direct";
TFPREFERENCES;FPreferences.AdvPageControl1.AdvTabOther.GrpETAutoComplete.ChkDefAutoCorrect;TCheckBox;Caption;"Auto correct";"Correction automatique";"Automatisch corrigeren";;"Correzione automatica";"Corrección automática";自动更正;"Correção automática";"Automatische Korrektur";
TFPREFERENCES;FPreferences.AdvPageControl1.AdvTabOther.GrpETAutoComplete.CmbETAutoCompleteMode;TComboBox;Items.Strings[0];None;Aucun;Geen;;Nessuno;Ninguno;无;Nenhum;Kein;
TFPREFERENCES;FPreferences.AdvPageControl1.AdvTabOther.GrpETAutoComplete.CmbETAutoCompleteMode;TComboBox;Items.Strings[1];"Auto append";"Ajout automatique";"Automatisch aanvullen";;"Aggiunta automatica";"Añadir automáticamente";自动追加;"Anexação automática";"Automatisch anfügen";
TFPREFERENCES;FPreferences.AdvPageControl1.AdvTabOther.GrpETAutoComplete.CmbETAutoCompleteMode;TComboBox;Items.Strings[2];"Auto suggest";"Suggestion automatique";"Automatisch voorstellen";;"Suggerimento auto";"Sugerir automáticamente";自动建议;"Sugestão automática";"Automatisch vorschlagen";
TFPREFERENCES;FPreferences.AdvPageControl1.AdvTabOther.GrpETAutoComplete.CmbETAutoCompleteMode;TComboBox;Items.Strings[3];"Auto append + suggest";"Ajout automatique + suggestion";"Automatisch aanvullen + voorstellen";;"Aggiunta automatica + suggerimento";"Añadir automáticamente + sugerir";"自动追加 + 建议";"Anexação automática + sugestão";"Automatisch anfügen + vorschlagen";
TFPREFERENCES;FPreferences.AdvPageControl1.AdvTabOther.Label5;TLabel;Caption;"Hint pause timeout in Millisecs";"Délai de pause de l'indice en millisecondes";"Hint pause timeout in Millisecs";;"Timeout pausa suggerimenti in millisecondi";"Tiempo de pausa en milisegundos";提示暂停超时（毫秒）;"Tempo limite de pausa da dica em milissegundos";"Hinweis Pausen-Timeout in Millisekunden";
TFPREFERENCES;FPreferences.AdvPageControl1.AdvTabOther.RgETOverride;TRadioGroup;Caption;"ExifTool.exe location";"Emplacement d'ExifTool.exe";"ExifTool.exe locatie";;"Posizione di ExifTool.exe";"Ubicación de ExifTool.exe";"ExifTool.exe 位置";"Localização do ExifTool.exe";"ExifTool.exe Ordner";
TFPREFERENCES;FPreferences.AdvPageControl1.AdvTabOther.RgETOverride;TRadioGroup;Items.Strings[0];"-Default search (See Windows documentation on CreateProcess)";"-Recherche par défaut (voir la documentation Windows sur CreateProcess)";"-Standaard zoekmethode (Zie Windows documentatie over CreateProcess)";;"-Ricerca predefinita (vedere la documentazione di Windows su CreateProcess)";"-Búsqueda por defecto (Ver documentación de Windows sobre CreateProcess)";"-默认搜索（请参阅有关创建进程的 Windows 文档）";"-Pesquisa padrão (consulte a documentação do Windows sobre CreateProcess)";"Standardsuche (siehe Windows-Dokumentation zu CreateProcess)";
TFPREFERENCES;FPreferences.AdvPageControl1.AdvTabOther.RgETOverride;TRadioGroup;Items.Strings[1];-Specify;-Spécifier;-Specificeer;;-Specificare;-Especificar;-指定;-Especificar;-Spezifiziere;
TFPREFERENCES;FPreferences.AdvPageControl1.AdvTabSheetThumbs;TTabSheet;Caption;Thumbnails;Vignettes;Miniaturen;;Anteprime;Miniaturas;缩略图;Miniaturas;Vorschaubilder;
TFPREFERENCES;FPreferences.AdvPageControl1.AdvTabSheetThumbs.BtnClean;TBitBtn;Caption;"Cleanup thumbnails";"Nettoyer les vignettes";"Opschonen miniaturen";;"Pulire le miniature";"Limpiar miniaturas";清理缩略图;"Limpar miniaturas";"Bereinigung Vorschaubilder";
TFPREFERENCES;FPreferences.AdvPageControl1.AdvTabSheetThumbs.BtnGenThumbs;TBitBtn;Caption;"Generate Thumbnails now";"Générer des vignettes maintenant";"Genereer nu Miniaturen";;"Genera miniature ora";"Generar miniaturas ahora";立即生成缩略图;"Gerar miniaturas agora";"Jetzt Vorschaubilder erzeugen";
TFPREFERENCES;FPreferences.AdvPageControl1.AdvTabSheetThumbs.BtnGenThumbs;TBitBtn;Hint;"Generating thumbnails is also available in the context menu of the filelist when in Thumbnail mode";"La génération de vignettes est également disponible dans le menu contextuel de la liste de fichiers en mode vignettes.";"Genereren miniaturen is ook beschikbaar in het contextmenu van de bestandslijst in miniatuurmode";;"La generazione di miniature è disponibile anche nel menu contestuale dell'elenco dei file quando si è in modalità Miniature.";"La generación de miniaturas también está disponible en el menú contextual de la lista de archivos cuando está en modo Miniaturas";在缩略图模式下，文件列表的上下文菜单中也可生成缩略图;"A geração de miniaturas também está disponível no menu de contexto da lista de arquivos quando no modo Miniaturas";"Die Erzeugung von Miniaturbildern ist auch im Kontextmenü der Dateiliste verfügbar, wenn der Miniaturbildmodus aktiviert ist";
TFPREFERENCES;FPreferences.AdvPageControl1.AdvTabSheetThumbs.BtnSetupClean;TBitBtn;Caption;"Setup Disk cleanup for thumbnails";"Configurer nettoyage pour les vignettes";"Instellen Schijfopruiming voor miniaturen";;"Impostazione della pulizia del disco per le miniature";"Configurar limpieza de disco para miniaturas";设置缩略图的磁盘清理;"Configurar a limpeza de disco para miniaturas";"Festplattenbereinigung für Vorschaubilder einrichten";
TFPREFERENCES;FPreferences.AdvPageControl1.AdvTabSheetThumbs.ChkAllowNonMSWicCodec;TCheckBox;Caption;"Allow Non Microsoft Wic codecs";"Autoriser les codecs Wic non Microsoft";"Sta Niet Microsoft Wic codecs toe";;"Consentire i codec non Microsoft Wic";"Permitir códecs Wic que no sean de Microsoft";"允許非 Microsoft Wic 編解碼器";"Permitir codecs Wic que não sejam da Microsoft";"Nicht-Microsoft-Wic-Codecs zulassen";
TFPREFERENCES;FPreferences.AdvPageControl1.AdvTabSheetThumbs.ChkThumbAutoGenerate;TCheckBox;Caption;"Generate thumbnails as needed";"Générer des vignettes si nécessaire";"Genereer miniaturen wanneer benodigd";;"Genera miniature secondo necessità";"Generar miniaturas según sea necesario";根据需要生成缩略图;"Gerar miniaturas conforme necessário";"Erzeuge Vorschaubilder nach Bedarf";
TFPREFERENCES;FPreferences.AdvPageControl1.AdvTabSheetThumbs.EdThumbCleanset;TMaskEdit;Hint;"Defines an Id used by the Disk Cleanup program. If unsure leave it to the default value  0000";"Définit un identifiant utilisé par le programme Disk Cleanup. En cas de doute, laisser la valeur par défaut 0000";"Stelt een ID in gebruikt door het Schijfopruimingsprogamma. Bij twijfel gebruik de standaardwaarde 0000";;"Definisce un ID utilizzato dal programma di pulizia del disco. Se non si è sicuri, lasciare il valore predefinito 0000";"Define un Id utilizado por el programa Liberador de espacio en disco. Si no está seguro, déjelo en el valor por defecto 0000";"定义磁盘清理程序使用的 Id。如果不确定，请保留默认值 0000";"Define um ID usado pelo programa de limpeza de disco. Se não tiver certeza, deixe-o com o valor padrão 0000";"Definiert eine Kennung, die vom Festplattenbereinigungsprogramm verwendet wird. Wenn Sie unsicher sind, belassen Sie es beim Standardwert 0000";
TFPREFERENCES;FPreferences.AdvPageControl1.AdvTabSheetThumbs.GpxCleanThumbNails;TGroupBox;Caption;"Cleanup Thumbnails (Admin required)";"Vignettes de nettoyage (Admin requis)";"Opschonen miniaturen (Beheerder vereist)";;"Pulisci miniature (richiesto dall'amministratore)";"Limpiar miniaturas (requiere administración)";清理缩略图（需要管理员设置）;"Miniaturas de limpeza (Requer administração)";"Bereinigung Vorschaubilder (Admin erforderlich)";
TFPREFERENCES;FPreferences.AdvPageControl1.TabGeoCoding;TTabSheet;Caption;GeoCoding;Géocodage;GeoCoding;;GeoCodifica;GeoCodificación;地理编码;GeoCodificação;Geokodierung;
TFPREFERENCES;FPreferences.AdvPageControl1.TabGeoCoding.GrpGeoCode.EdThrottleGeoCode;TLabeledEdit;EditLabel.Caption;Throttle;Restriction;Vertraging;;Limitazione;Acelerador;节流;Acelerador;Drossel;
TFPREFERENCES;FPreferences.AdvPageControl1.TabGeoCoding.GrpGeoCode.Label3;TLabel;Caption;"(Min. time between calls in Ms)";"(Temps minimum entre les appels en Ms)";"(Min. tijd tussen verzoeken in Ms)";;"(Tempo minimo tra le chiamate in Ms)";"(Tiempo mín. entre llamadas en Ms)";(以秒为单位的最小通话间隔时间）;"(Tempo mínimo entre chamadas em Ms)";"(Min. Zeit zwischen Anrufen in Ms)";
TFPREFERENCES;FPreferences.AdvPageControl1.TabGeoCoding.GrpGeoCodeGeneral;TGroupBox;Caption;GeoCoding;Géocodage;GeoCoding;;GeoCodifica;GeoCodificación;地理编码;GeoCodificação;GeoCoding;
TFPREFERENCES;FPreferences.AdvPageControl1.TabGeoCoding.GrpGeoCodeGeneral.ChkCountryLocation;TCheckBox;Caption;"Show CountryCode in File list";"Afficher le code pays dans la liste des fichiers";"Toon landcode in bestandslijst";;"Mostra il codice paese nell'elenco dei file";"Mostrar el código de país en la lista de archivos";在文件列表中显示国家代码;"Mostrar código do país na lista de arquivos";"Ländercode in Dateiliste anzeigen";
TFPREFERENCES;FPreferences.AdvPageControl1.TabGeoCoding.GrpGeoCodeGeneral.ChkGeoCodeDialog;TCheckBox;Caption;"Enable Geocode dialog (Get coordinates of location)";"Activer la boîte de dialogue Geocode (Obtenir les coordonnées de l'emplacement)";"Schakel Geocode dialoog in (Bepaal coördinaten van lokatie)";;"Abilita la finestra di dialogo Geocodifica (Ottiene le coordinate della posizione)";"Activar diálogo Geocode (Obtener coordenadas de ubicación)";启用地理编码对话框（获取位置坐标）;"Ativar a caixa de diálogo Geocode (obter coordenadas do local)";"Geocode-Dialog aktivieren (Koordinaten des Standorts abrufen)";
TFPREFERENCES;FPreferences.AdvPageControl1.TabGeoCoding.GrpGeoCodeGeneral.ChkReverseGeoCodeDialog;TCheckBox;Caption;"Enable reverse Geocode dialog (Get location of coordinates)";"Activer la boîte de dialogue de géocodage inversé (Obtenir la localisation des coordonnées)";"Schakel omgekeerde Geocode dialoog in (Bepaal lokatie van coördinaten)";;"Abilita la finestra di dialogo Geocodifica inversa (Ottieni la posizione delle coordinate)";"Activar diálogo inverso de Geocodificación (Obtener ubicación de coordenadas)";启用反向地理编码对话框（获取坐标位置）;"Ativar a caixa de diálogo Geocode reversa (obter coordenadas do local)";"Umgekehrte Geocode-Dialogs aktivieren (Standort der Koordinaten)";
TFPREFERENCES;FPreferences.AdvPageControl1.TabGeoCoding.GrpGeoCodeGeneral.CmbGeoCodingEnable;TComboBox;Items.Strings[0];"Disable GeoCoding";"Désactiver le géocodage";"Deactiveer GeoCoding";;"Disattivare la geocodifica";"Desactivar GeoCoding";禁用地理编码;"Desativar GeoCodificação";"GeoCoding deaktivieren";
TFPREFERENCES;FPreferences.AdvPageControl1.TabGeoCoding.GrpGeoCodeGeneral.CmbGeoCodingEnable;TComboBox;Items.Strings[1];"Enable All GeoCoding";"Activer tous les géocodages";"Activeer alle GeoCoding";;"Abilita tutta la geocodifica";"Activar toda la geocodificación";启用所有地理编码;"Ativar toda a geocodificação";"Alle GeoCodierungen einschalten";
TFPREFERENCES;FPreferences.AdvPageControl1.TabGeoCoding.GrpGeoCodeGeneral.CmbGeoCodingEnable;TComboBox;Items.Strings[2];"Enable Offline GeoCoding (ExifTool)";"Activer le géocodage hors ligne (ExifTool)";"Activeer offline GeoCoding(ExifTool)";;"Abilita la geocodifica offline (ExifTool)";"Activar la geocodificación sin conexión (ExifTool)";启用离线地理编码（ExifTool）;"Ativar a geocodificação off-line (ExifTool)";"Offline-Geokodierung aktivieren (ExifTool)";
TFPREFERENCES;FPreferences.AdvPageControl1.TabGeoCoding.GrpMapTiler;TGroupBox;Caption;"MapTiler Map layers (https://www.maptiler.com/)";"MapTiler Couches cartographiques (https://www.maptiler.com/)";"MapTiler Kaartlagen (https://www.maptiler.com/)";;"MapTiler Livelli mappa (https://www.maptiler.com/)";"Capas de mapas de MapTiler (https://www.maptiler.com/)";"MapTiler 地图图层（https://www.maptiler.com/）";"Camadas do MapTiler (https://www.maptiler.com/)";"MapTiler-Kartenebenen (https://www.maptiler.com/)";
TFPREFERENCES;FPreferences.AdvPageControl1.TabGeoCoding.GrpOverPass.EdThrottleOverPass;TLabeledEdit;EditLabel.Caption;Throttle;Restriction;Vertraging;;Limitazione;Acelerador;节流;Acelerador;Drossel;
TFPREFERENCES;FPreferences.AdvPageControl1.TabGeoCoding.GrpOverPass.Label4;TLabel;Caption;"(Min. time between calls in Ms)";"(Temps minimum entre les appels en Ms)";"(Min. tijd tussen verzoeken in Ms)";;"(tempo minimo tra le chiamate in Ms)";"(Tiempo mín. entre llamadas en Ms)";(以秒为单位的最小通话间隔时间）;"(Tempo mínimo entre chamadas em Ms)";"(Min. Zeit zwischen Anrufen in Ms)";
TFPREFERENCES;FPreferences.BtnCancel;TButton;Caption;Cancel;Annuler;Annuleer;;Annulla;Cancelar;取消;Cancelar;Abbrechen;
TFPREFERENCES;FPreferences.BtnSave;TButton;Caption;Save;Sauvegarder;"Sla op";;Salva;Guardar;保存;Salvar;Speichern;
TFQUICKMANAGER;FQuickManager;TFQuickManager;Caption;"Workspace manager";"Gestionnaire de l'espace de travail";"Werkruimte beheer";;"Gestore dello spazio di lavoro";"Gestor del espacio de trabajo";工作区管理器;"Gerenciador de espaço de trabalho";Arbeitsbereich-manager;
TFQUICKMANAGER;FQuickManager.AdvPanel1.PnlFuncTop.GrpDefAutoComplete;TGroupBox;Caption;"Default auto complete options";"Options de complétion automatique par défaut";"Standaardopties voor automatisch aanvullen";;"Opzioni di completamento automatico predefinite";"Opciones predeterminadas de autocompletado";默认自动完成选项;"Opções padrão de preenchimento automático";"Standardoptionen für die automatische Vervollständigung";
TFQUICKMANAGER;FQuickManager.AdvPanel1.PnlFuncTop.GrpDefAutoComplete.ChkDefAutoCorrect;TCheckBox;Caption;"Auto correct";"Correction automatique";"Automatisch corrigeren";;"Correzione automatica";"Corrección automática";自动更正;"Correção automática";"Automatische Korrektur";
TFQUICKMANAGER;FQuickManager.AdvPanel1.PnlFuncTop.GrpDefAutoComplete.CmbDefAutoCompleteMode;TComboBox;Items.Strings[0];None;Aucun;Geen;;Nessuno;Ninguno;无;Nenhum;Kein;
TFQUICKMANAGER;FQuickManager.AdvPanel1.PnlFuncTop.GrpDefAutoComplete.CmbDefAutoCompleteMode;TComboBox;Items.Strings[1];"Auto append";"Ajout automatique";"Automatisch aanvullen";;"Aggiunta automatica";"Añadir automáticamente";自动追加;"Anexação automática";"Automatisch anfügen";
TFQUICKMANAGER;FQuickManager.AdvPanel1.PnlFuncTop.GrpDefAutoComplete.CmbDefAutoCompleteMode;TComboBox;Items.Strings[2];"Auto suggest";"Suggestion automatique";"Automatisch voorstellen";;"Suggerimento auto";"Sugerir automáticamente";自动建议;"Sugestão automática";"Automatisch vorschlagen";
TFQUICKMANAGER;FQuickManager.AdvPanel1.PnlFuncTop.GrpDefAutoComplete.CmbDefAutoCompleteMode;TComboBox;Items.Strings[3];"Auto append + suggest";"Ajout automatique + suggestion";"Automatisch aanvullen + voorstellen";;"Aggiunta automatica + suggerimento";"Añadir automáticamente + sugerir";"自动追加 + 建议";"Anexação automática + sugestão";"Automatisch anfügen + vorschlagen";
TFQUICKMANAGER;FQuickManager.AdvPanel1.PnlFuncTop.PnlAddDel.SpbAddTag;TSpeedButton;Caption;Add;Ajouter;Nieuw;;Aggiungi;Añadir;添加;Adicionar;Hinzufügen;
TFQUICKMANAGER;FQuickManager.AdvPanel1.PnlFuncTop.PnlAddDel.SpbDefaults;TSpeedButton;Caption;Defaults;Défauts;Standaard;;Predefiniti;"Por defecto";默认值;Predefinições;Standardwerte;
TFQUICKMANAGER;FQuickManager.AdvPanel1.PnlFuncTop.PnlAddDel.SpbDelTag;TSpeedButton;Caption;Delete;Supprimer;Verwijder;;Cancellare;Borrar;删除;Eliminar;Löschen;
